clips	text	text_process	pictos	tokens
cefc-fleuron-V_Rint_exo_06_P5-63	signé signé oui la signature de de nnaammee	signé signé oui la signature de de nnaammee	[38428, 5584, 8476, 12317, 7074, 36935, 3417]	signer oui le signature de haut_du_corps !
cefc-fleuron-V_Rint_exo_06_P5-61	et puis je vais vous rendre ça	et puis je vais vous rendre ça	[6632, 8142, 7304, 9026, 6906]	me aller vous rendre celle-là
cefc-fleuron-V_Rint_exo_06_P5-12	et j'ai parlé à madame nnaammee	et j'ai parlé à madame nnaammee	[11399, 9839, 6632, 6517, 7041, 4744, 36935]	et passé me parler à monsieur haut_du_corps
cefc-fleuron-V_Rint_exo_06_P5-73	euh je suis allée chercher ma carte siuap siuaps	euh je suis allée chercher ma carte siuap siuaps	[9829, 9839, 6632, 9072, 12264, 5505, 37779]	prochain passé me aller_chercher mon carte_géographique quelqu'un
cefc-fleuron-V_Rint_exo_06_P5-30	hein elle elle est en train de faire un document pour qui vous aide vous les étudiants erasmus pour choisir vos cours parce que c'est pas facile	hein elle elle est en train de faire un document pour qui vous aide vous les étudiants erasmus pour choisir vos cours parce que c'est pas facile	[7028, 36480, 25736, 6190, 2627, 21802, 7194, 9857, 7304, 4570, 7304, 8477, 6042, 12333, 7194, 30510, 12283, 23404, 11348, 7095, 36480, 5526, 32434]	elle être immédiatement faire un document pour anonymes vous aider vous les élève association_à_but_non_lucratif pour préférer à_toi cours parce_que celui-là être non facile
cefc-fleuron-V_Rint_exo_06_P5-24	mais maintenant c'est vrai que je peux vous le donner	mais maintenant c'est vrai que je peux vous le donner	[11377, 32747, 7095, 36480, 5584, 11351, 6632, 35949, 7304, 8476, 17040]	alors_que maintenant celui-là être oui que me pouvoir vous le donner
cefc-fleuron-V_Rint_exo_06_P5-39	oh oui oui elle est vraiment	oh oui oui elle est vraiment	[5584, 7028, 36480]	oui elle être
cefc-fleuron-V_Rint_exo_06_P5-75	oui aujourd'hui mais j'avais pas le certificat de scolarité sur moi	oui aujourd'hui mais j'avais pas le certificat de scolarité sur moi	[5584, 38276, 11377, 9839, 6632, 32761, 5526, 8476, 27677, 7074, 38021, 5451, 6632]	oui aujourd'hui alors_que passé me avoir non le certificat de formation_civique sur me
cefc-fleuron-V_Rint_exo_06_P5-17	la fiche oui oui je vais vous la donner	la fiche oui oui je vais vous la donner	[8476, 32890, 5584, 6632, 8142, 7304, 8476, 17040]	le fiche oui me aller vous le donner
cefc-fleuron-V_Rint_exo_06_P5-19	parce que ça fait beaucoup de documents euh pour vous vous arrivez beaucoup de papiers	parce que ça fait beaucoup de documents euh pour vous vous arrivez beaucoup de papiers	[11348, 6906, 6190, 5521, 7074, 16169, 7194, 7304, 16807, 5521, 7074, 16169]	parce_que celle-là faire beaucoup de documents_personnels pour vous arrive beaucoup de documents_personnels
cefc-fleuron-V_Rint_exo_06_P5-99	ok alors c'était	ok alors c'était	[31410, 7095, 36480]	d'accord celui-là être
cefc-fleuron-V_Rint_exo_06_P5-50	si ce qui m'intéresse	si ce qui m'intéresse	[28359, 7095, 11351, 6632, 37709]	si celui-là que me intéresser
cefc-fleuron-V_Rint_exo_06_P5-49	oui elle m'a dit elle m'a dit de venir euh ou d'aller la première semaine pour voir	oui elle m'a dit elle m'a dit de venir euh ou d'aller la première semaine pour voir	[5584, 9839, 7028, 6632, 9693, 7028, 6632, 9693, 7074, 32669, 11317, 7074, 8142, 8476, 4726, 37732, 7194, 6564]	oui passé elle me dire elle me dire de venir ou de aller le premier semaine pour voir
cefc-fleuron-V_Rint_exo_06_P5-91	euh ont la possibilité de payer	euh ont la possibilité de payer	[32761, 8476, 37861, 7074, 29070, 3417]	avoir le décider de payer !
cefc-fleuron-V_Rint_exo_06_P5-101	mais de rien il faut faire un rendez-vous pour ça	mais de rien il faut faire un rendez-vous pour ça	[11377, 7074, 29839, 15523, 6190, 2627, 16165, 7194, 6906]	alors_que de rien devoir faire un rendez-vous pour celle-là
cefc-fleuron-V_Rint_exo_06_P5-79	ah oui euh non il faut dire non non non non oui oui	ah oui euh non il faut dire non non non non oui oui	[5584, 5525, 9693, 5525, 5584]	oui non dire non oui
cefc-fleuron-V_Rint_exo_06_P5-46	pas tout de suite hein c'est moi c'est moi qui enregistre les pas tout de suite hein au mois d'octobre hein	pas tout de suite hein c'est moi c'est moi qui enregistre les pas tout de suite hein au mois d'octobre hein	[5526, 32747, 7095, 36480, 6632, 7095, 36480, 6632, 11351, 28893, 8477, 26901, 32747, 11709, 37724, 7074, 35943]	non maintenant celui-là être me celui-là être me que enregistrer les pas maintenant au mois de octobre
cefc-fleuron-V_Rint_exo_06_P5-77	et ils m'ont demandé si j'ai déjà payé les frais de sport	et ils m'ont demandé si j'ai déjà payé les frais de sport	[11399, 9839, 7032, 6632, 9840, 28359, 6632, 29070, 8477, 36384, 7074, 7010]	et passé ils me demander si me payer les dépenses de sport
cefc-fleuron-V_Rint_exo_06_P5-37	oui elle m'a envoyé un plein de emails	oui elle m'a envoyé un plein de emails	[5584, 9839, 7028, 6632, 21828, 2627, 22629, 5432]	oui passé elle me envoyer un grand_chose mail
cefc-fleuron-V_Rint_exo_06_P5-69	la vôtre aussi et puis c'est tout en fait hein	la vôtre aussi et puis c'est tout en fait hein	[12281, 7095, 36480, 5596]	ton celui-là être tout
cefc-fleuron-V_Rint_exo_06_P5-86	oui oui oui oui oui non non non on n'a pas payé les	oui oui oui oui oui non non non on n'a pas payé les	[5584, 5525, 9839, 31672, 29070, 5526, 8477]	oui non passé nous payer non les
cefc-fleuron-V_Rint_exo_06_P5-27	vous avez l'ensemble hein des cours à indiquer avec les codes avec le code du cours	vous avez l'ensemble hein des cours à indiquer avec les codes avec le code du cours	[7304, 32761, 8476, 27091, 7074, 23404, 7041, 36964, 7064, 8477, 7064, 7074, 7064, 8476, 7064, 7074, 23404]	vous avoir le ensemble de cours à désignation avec les avec de avec le avec de cours
cefc-fleuron-V_Rint_exo_06_P5-41	donc euh vous indiquerez bien tous les codes	donc euh vous indiquerez bien tous les codes	[9829, 7304, 36964, 5397, 5596, 8477, 7064, 7074]	prochain vous désignation heureusement tout les avec de
cefc-fleuron-V_Rint_exo_06_P5-87	oui non non c'est en fait	oui non non c'est en fait	[5584, 5525, 7095, 36480]	oui non celui-là être
cefc-fleuron-V_Rint_exo_06_P5-106	ok super merci beaucoup bonne journée	ok super merci beaucoup bonne journée	[31410, 38564, 8128, 5521, 34641, 7022]	d'accord super merci beaucoup exact journée
cefc-fleuron-V_Rint_exo_06_P5-32	en plusieurs ufr c'est assez	en plusieurs ufr c'est assez	[37779, 7095, 36480]	quelqu'un celui-là être
cefc-fleuron-V_Rint_exo_06_P5-81	ok j'ai dit non	ok j'ai dit non	[31410, 9839, 6632, 5525]	d'accord passé me non
cefc-fleuron-V_Rint_exo_06_P5-40	oui oui vraiment vraiment vraiment	oui oui vraiment vraiment vraiment	[5584]	oui
cefc-fleuron-V_Rint_exo_06_P5-55	ouais mais c'est sympa	oui mais c'est sympa	[5584, 11377, 7095, 36480, 37800]	oui alors_que celui-là être adorable
cefc-fleuron-V_Rint_exo_06_P5-31	il y a beaucoup de cours euh	il y a beaucoup de cours euh	[9001, 5521, 7074, 23404]	il_y_a beaucoup de cours
cefc-fleuron-V_Rint_exo_06_P5-28	nnaammee m'a envoyé un message en me disant qu'elle avait terminé le catalogue des cours	nnaammee m'a envoyé un message en me disant qu'elle avait terminé le catalogue des cours	[9839, 36935, 6632, 21828, 2627, 32540, 11709, 6632, 9693, 11351, 7028, 32814, 8476, 28717, 7074, 23404]	passé haut_du_corps me envoyer un courriel au me dire que elle terminer le catalogue de cours
cefc-fleuron-V_Rint_exo_06_P5-47	vous avez encore du temps	vous avez encore du temps	[7304, 37163, 17058]	vous une_autre_fois avoir_le_temps
cefc-fleuron-V_Rint_exo_06_P5-25	donc je vous donne un modèle	donc je vous donne un modèle	[6632, 7304, 17040, 2627, 29843]	me vous donner un agence_de_mannequins
cefc-fleuron-V_Rint_exo_06_P5-3	madame ou la feuille pédagogique	madame ou la feuille pédagogique	[4744, 11317, 8476, 5077, 6556]	monsieur ou le feuille prof
cefc-fleuron-V_Rint_exo_06_P5-82	et la dame a demandé	et la dame a demandé	[11399, 9839, 8476, 4703, 9840]	et passé le dame demander
cefc-fleuron-V_Defle_exo_05_P3-15	donc on est le vingt-et-un zéro neuf	donc on est le vingt-et-un zéro neuf	[31672, 36480, 8476, 29280, 2626, 4705]	nous être le 21 zéro neuf
cefc-fleuron-V_Defle_exo_05_P3-30	merci au revoir madame	merci au revoir madame	[8128, 5896, 4744]	merci au_revoir monsieur
cefc-fleuron-V_Defle_exo_05_P3-4	donc vous avez une pièce d'identité pour euh	donc vous avez une pièce d'identité pour euh	[7304, 32761, 8474, 27093, 7074, 16169, 7194]	vous avoir une pièce de documents_personnels pour
cefc-fleuron-V_Defle_exo_05_P3-18	une petite signature là	une petite signature là	[8474, 4716, 12317, 5375]	une petit signature là
cefc-fleuron-V_Defle_exo_05_P3-26	hum je revérifie hein la date de naissance	hum je revérifie hein la date de naissance	[6632, 37163, 35473, 8476, 10275]	me une_autre_fois inspecter le date_de_naissance
cefc-fleuron-V_Defle_exo_05_P3-12	ah oui ça c'est votre nom ça	ah oui ça c'est votre nom ça	[5584, 6906, 7095, 36480, 12285, 38570, 6906]	oui celle-là celui-là être votre nom celle-là
cefc-fleuron-V_Defle_exo_05_P3-3	un diplôme oui	un diplôme oui	[2627, 27724, 5584]	un diplôme oui
cefc-fleuron-V_Defle_exo_05_P3-27	quatorze onze quatre-vingt-deux	quatorze onze quatre-vingt-deux	[29266, 29260, 29414]	14 11 82
cefc-fleuron-V_Defle_exo_05_P3-23	donc le b2	donc le b2	[8476, 2704]	le ville
cefc-fleuron-V_Defle_exo_05_P3-2	voilà bonjour madame euh je voudrais euh retirer diplôme pour un ami oui	voilà bonjour madame euh je voudrais euh retirer diplôme pour un ami oui	[6009, 4744, 6632, 5441, 9072, 27724, 7194, 2627, 8487, 5584, 3417]	bonjour monsieur me vouloir aller_chercher diplôme pour un ami oui !
cefc-fleuron-V_Defle_exo_05_P3-8	donc c'est pour le b2	donc c'est pour le b2	[7095, 36480, 7194, 8476]	celui-là être pour le
cefc-fleuron-V_Defle_exo_05_P3-7	elle a passé le b2 d'accord	elle a passé le b2 d'accord	[9839, 7028, 31999, 8476, 31146, 31410]	passé elle passer le papa d'accord
cefc-fleuron-V_Defle_exo_05_P3-24	voilà c'est hum	voilà c'est hum	[7095, 36480, 3417]	celui-là être !
cefc-fleuron-V_Defle_exo_05_P3-14	c'oui est vous ça	c'oui est vous ça	[7095, 5584, 36480, 7304, 6906]	celui-là oui être vous celle-là
cefc-fleuron-V_Defle_exo_05_P3-5	oui c'est diplôme de b2	oui c'est diplôme de b2	[5584, 7095, 36480, 27724, 7074, 37544]	oui celui-là être diplôme de groupe_parlementaire
cefc-fleuron-V_Rint_exo_06_P6-85	et les ect ne ne comptent pas	et les ect ne ne comptent pas	[11399, 8477, 12333, 2714, 5526]	et les association_à_but_non_lucratif compter non
cefc-fleuron-V_Rint_exo_06_P6-27	normalement votre université vous donne les cours à peu près hein	normalement votre université vous donne les cours à peu près hein	[12285, 15537, 7304, 17040, 8477, 23404, 7212]	votre université vous donner les cours par
cefc-fleuron-V_Rint_exo_06_P6-12	parce que moi j'ai un document qui peut vous aider à faire le choix enfin à écrire clairement oui à écrire	parce que moi j'ai un document qui peut vous aider à faire le choix enfin à écrire clairement oui à écrire	[11348, 6632, 32761, 2627, 21802, 11351, 35949, 7304, 4570, 7041, 6190, 8476, 14670, 7041, 2380, 5584, 7041, 2380]	parce_que me avoir un document que pouvoir vous aider à faire le choix à écrire oui à écrire
cefc-fleuron-V_Rint_exo_06_P6-62	qui est professeur d'allemand hein qui est également professeur coordinateur erasmus	qui est professeur d'allemand hein qui est également professeur coordinateur erasmus	[11351, 36480, 2457, 7074, 37740, 11351, 36480, 3423, 2457, 33970, 12333]	que être maître de allemand que être égal maître coordonner association_à_but_non_lucratif
cefc-fleuron-V_Rint_exo_06_P6-78	c'est un accord entre les deux universités	c'est un accord entre les deux universités	[7095, 36480, 2627, 25696, 6491, 5367, 15537]	celui-là être un accord entrer à_côté_de université
cefc-fleuron-V_Rint_exo_06_P6-127	donc je termine je vous donne juste hein le l'email de de monsieur nnaammee	donc je termine je vous donne juste hein le l'email de de monsieur nnaammee	[6632, 32814, 6632, 7304, 17040, 21381, 8476, 32540, 7074, 4744, 36935]	me terminer me vous donner juste le courriel de monsieur haut_du_corps
cefc-fleuron-V_Rint_exo_06_P6-125	ça c'est vrai que ce serait bien de de reconfirmer avec votre université	ça c'est vrai que ce serait bien de de reconfirmer avec votre université	[6906, 7095, 36480, 5584, 11351, 7095, 36480, 5397, 7074, 37163, 21549, 7064, 12285, 15537]	celle-là celui-là être oui que celui-là être heureusement de une_autre_fois confirmer avec votre université
cefc-fleuron-V_Rint_exo_06_P6-1	alors rebonjour	alors rebonjour	[37163, 6009]	une_autre_fois bonjour
cefc-fleuron-V_Rint_exo_06_P6-19	il y a un contrat d'études le learning agreement	il y a un contrat d'études le learning agreement	[9001, 2627, 25696, 7074, 36055, 8476]	il_y_a un accord de études le
cefc-fleuron-V_Rint_exo_06_P6-32	euh j'ai fait le français et espagnol	euh j'ai fait le français et espagnol	[9839, 6632, 6190, 8476, 36367, 11399, 11534]	passé me faire le français et espagnol
cefc-fleuron-V_Rint_exo_06_P6-129	je vais indiquer oui à côté allemand	je vais indiquer oui à côté allemand	[9829, 6632, 36964, 5584, 36758, 37740]	prochain me désignation oui à_côté allemand
cefc-fleuron-V_Rint_exo_06_P6-132	et puis ils vous aideront à choisir les cours d'espagnol et d'allemand	et puis ils vous aideront à choisir les cours d'espagnol et d'allemand	[9829, 7032, 7304, 4570, 7041, 30510, 8477, 36371, 11399, 7074, 37740]	prochain ils vous aider à préférer les cours_d'espagnol et de allemand
cefc-fleuron-V_Rint_exo_06_P6-121	moi je veux faire	moi je veux faire	[6632, 5441, 6190]	me vouloir faire
cefc-fleuron-V_Rint_exo_06_P6-89	parce que c'est vrai certaines certains pays n'ont pas obligatoirement besoin de points ects	parce que c'est vrai certaines certains pays n'ont pas obligatoirement besoin de points ects	[11348, 7095, 36480, 5584, 5374, 35431, 32761, 5526, 15523, 37160, 7074, 3218]	parce_que celui-là être oui plusieurs comme avoir non devoir besoin de point
cefc-fleuron-V_Rint_exo_06_P6-36	nnaammee oui	nnaammee oui	[36935, 5584]	haut_du_corps oui
cefc-fleuron-V_Rint_exo_06_P6-96	pour d'accord d'accord mais vous aurez besoin de passer les examens	pour d'accord d'accord mais vous aurez besoin de passer les examens	[7194, 31410, 11377, 9829, 7304, 37160, 7074, 31999, 8477, 38462]	pour d'accord alors_que prochain vous besoin de passer les contrôle
cefc-fleuron-V_Rint_exo_06_P6-42_2	donc il y a nnaammee qui peut vous aider	donc il y a nnaammee qui peut vous aider	[9001, 36935, 11351, 35949, 7304, 4570]	il_y_a haut_du_corps que pouvoir vous aider
cefc-fleuron-V_Rint_exo_06_P6-73	c'est pas d'ici que	c'est pas d'ici que	[7095, 36480, 5526, 7074, 5382, 11351]	celui-là être non de ici que
cefc-fleuron-V_Rint_exo_06_P6-123	d'accord très très bien	d'accord très très bien	[31410, 11599]	d'accord très_bien
cefc-fleuron-V_Rint_exo_06_P6-34	alors je vais je vais regarder quel était le le nom de votre coordinateur	alors je vais je vais regarder quel était le le nom de votre coordinateur	[9829, 9839, 6632, 8142, 6632, 6564, 22624, 36480, 8476, 38570, 7074, 12285, 33970]	prochain passé me aller me voir quelle être le nom de votre coordonner
cefc-fleuron-V_Rint_exo_06_P6-3	mais je comprends pas exactement qu'	mais je comprends pas exactement qu'	[11377, 6632, 11697, 5526]	alors_que me comprendre non
cefc-fleuron-V_Rint_exo_06_P6-105	non parce que non il faut pas aller à l'université vous pouvez travailler en	non parce que non il faut pas aller à l'université vous pouvez travailler en	[5525, 11348, 5525, 15523, 8142, 5526, 7041, 8476, 15537, 7304, 35949, 6624, 11709]	non parce_que non devoir aller non à le université vous pouvoir travailler au
cefc-fleuron-V_Rint_exo_06_P6-67	oui parce que oui oui oui	oui parce que oui oui oui	[5584, 11348, 5584]	oui parce_que oui
cefc-fleuron-V_Rint_exo_06_P6-130	et puis madame nnaammee c'est pour espagnol	et puis madame nnaammee c'est pour espagnol	[4744, 36935, 7095, 36480, 7194, 11534]	monsieur haut_du_corps celui-là être pour espagnol
cefc-fleuron-V_Rint_exo_06_P6-55	s'appelle a un a deux b un c e s e l v ou quelque chose oui	s'appelle a un a deux b un c e s e l v ou quelque chose oui	[6552, 7041, 2627, 7041, 2628, 2627, 3096, 11317, 11318, 5584]	crier à un à deux un e ou truc oui
cefc-fleuron-V_Rint_exo_06_P6-18	et c'est votre université normalement	et c'est votre université normalement	[11399, 7095, 36480, 12285, 15537]	et celui-là être votre université
cefc-fleuron-V_Rint_exo_06_P6-116	votre université oui	votre université oui	[12285, 15537, 5584]	votre université oui
cefc-fleuron-V_Rint_exo_06_P6-28	c'est pas exactement euh hein	c'est pas exactement euh hein	[7095, 36480, 5526]	celui-là être non
cefc-fleuron-V_Rint_exo_06_P6-72	mais c'est de mon université c'est pas	mais c'est de mon université c'est pas	[11377, 7095, 36480, 7074, 12264, 15537, 7095, 36480, 5526]	alors_que celui-là être de mon université celui-là être non
cefc-fleuron-V_Rint_exo_06_P6-134	et vous pourrez euh la semaine prochaine commencer les cours	et vous pourrez euh la semaine prochaine commencer les cours	[11399, 9829, 7304, 35949, 8476, 37732, 9829, 5431, 8477, 23404]	et prochain vous pouvoir le semaine prochain commencer les cours
cefc-fleuron-V_Rint_exo_06_P6-39	et par contre espagnol là il pourra pas vous aider oui parce que c'est	et par contre espagnol là il pourra pas vous aider oui parce que c'est	[11399, 11377, 11534, 5375, 9829, 6480, 35949, 5526, 7304, 4570, 5584, 11348, 7095, 36480]	et alors_que espagnol là prochain il pouvoir non vous aider oui parce_que celui-là être
cefc-fleuron-V_Rint_exo_06_P6-124	donc vous serez peut-être pas obligée de passer les examens effectivement si vous avez besoin si vous n'avez pas besoin de points ects	donc vous serez peut-être pas obligée de passer les examens effectivement si vous avez besoin si vous n'avez pas besoin de points ects	[9829, 9839, 7304, 36480, 15525, 5526, 7074, 31999, 8477, 38462, 28359, 7304, 37160, 28359, 7304, 5526, 37160, 7074, 3218, 28833]	prochain passé vous être obliger non de passer les contrôle si vous besoin si vous non besoin de point rendre_la_monnaie
cefc-fleuron-V_Rint_exo_06_P6-60	je vais vous donner aussi le nom de monsieur nnaammee	je vais vous donner aussi le nom de monsieur nnaammee	[6632, 8142, 7304, 17040, 8476, 38570, 7074, 4744, 36935]	me aller vous donner le nom de monsieur haut_du_corps
cefc-fleuron-V_Rint_exo_06_P6-33	français espagnol	français espagnol	[36367, 11534]	français espagnol
cefc-fleuron-V_Rint_exo_06_P6-91	parce que oui en licence c'est	parce que oui en licence c'est	[11348, 5584, 11709, 7095, 36480]	parce_que oui au celui-là être
cefc-fleuron-V_Rint_exo_06_P6-38	c'est lui qui devrait vous aider	c'est lui qui devrait vous aider	[7095, 36480, 6481, 11351, 15523, 7304, 4570]	celui-là être lui que devoir vous aider
cefc-fleuron-V_Rint_exo_06_P6-31	quand même dans quelle discipline vous voulez étudier	quand même dans quelle discipline vous voulez étudier	[7034, 22624, 34796, 7304, 5441, 37810]	dans quelle matière_scolaire vous vouloir étudier
cefc-fleuron-V_Rint_exo_06_P6-75	non c'est votre université qui fait le le contrat	non c'est votre université qui fait le le contrat	[5525, 7095, 36480, 12285, 15537, 11351, 6190, 8476, 25696]	non celui-là être votre université que faire le accord
cefc-fleuron-V_Rint_exo_06_P6-100	non parce que nous on passe	non parce que nous on passe	[5525, 11348, 31672, 31999]	non parce_que nous passer
cefc-fleuron-V_Rint_exo_06_P6-92	ça fait cinq ans que	ça fait cinq ans que	[6906, 6190, 6979, 6903, 11351]	celle-là faire 5 année que
cefc-fleuron-V_Rint_exo_06_P6-120	mais moi je veux faire	mais moi je veux faire	[11377, 6632, 5441, 6190]	alors_que me vouloir faire
cefc-fleuron-V_Rint_exo_06_P6-83	oui oui je pense que c'est différent ecosse parce que oui je sais que j'ai besoin de l'agreement	oui oui je pense que c'est différent ecosse parce que oui je sais que j'ai besoin de l'agreement	[5584, 6632, 38796, 11351, 7095, 36480, 32394, 2704, 11348, 5584, 6632, 16885, 11351, 6632, 37160, 7074, 8476]	oui me penser que celui-là être différent ville parce_que oui me savoir que me besoin de le
cefc-fleuron-V_Rint_exo_06_P6-135	ok merci	ok merci	[31410, 8128]	d'accord merci
cefc-fleuron-V_Rint_exo_06_P6-131	voilà hum donc vous pourrez les contacter	voilà hum donc vous pourrez les contacter	[9829, 7304, 35949, 8477, 38375, 3417]	prochain vous pouvoir les composer_le_numéro !
cefc-fleuron-V_Rint_exo_06_P6-41	mais je veux faire le niveau deux ou	mais je veux faire le niveau deux ou	[11377, 5441, 6190, 8476, 37864, 2628, 11317]	alors_que vouloir faire le étage deux ou
cefc-fleuron-V_Rint_exo_06_P6-128_2	c'est pour l'allemand	c'est pour l'allemand	[7095, 36480, 7194, 8476, 37740]	celui-là être pour le allemand
cefc-fleuron-V_Rint_exo_06_P6-7	mais il a dit que il faut parler avec	mais il a dit que il faut parler avec	[11377, 9839, 6480, 9693, 11351, 15523, 6517, 7064]	alors_que passé il dire que devoir parler avec
cefc-fleuron-V_Rint_exo_06_P6-63	donc il pourra vous aider vous indiquer trouver le bon cours bien adapté par rapport à votre niveau	donc il pourra vous aider vous indiquer trouver le bon cours bien adapté par rapport à votre niveau	[9829, 9839, 6480, 35949, 7304, 4570, 7304, 36964, 24742, 8476, 34641, 23404, 5397, 8516, 12285, 37864]	prochain passé il pouvoir vous aider vous désignation trouver le exact cours heureusement adapter votre étage
cefc-fleuron-V_Rint_exo_06_P6-48	ok elle s'occupe aussi des étudiants erasmus hein	ok elle s'occupe aussi des étudiants erasmus hein	[31410, 7028, 24863, 7074, 6042, 12333]	d'accord elle être_attentif de élève association_à_but_non_lucratif
cefc-fleuron-V_Rint_exo_06_P6-84	mais c'est différent parce qu'on a une année pour ceci	mais c'est différent parce qu'on a une année pour ceci	[11377, 7095, 36480, 32394, 11348, 31672, 32761, 8474, 6903, 7194, 7095]	alors_que celui-là être différent parce_que nous avoir une année pour celui-là
cefc-fleuron-V_Rint_exo_06_P6-122	mais c'est pas obligatoire	mais c'est pas obligatoire	[11377, 7095, 36480, 5526, 15523]	alors_que celui-là être non devoir
cefc-fleuron-V_Rint_exo_06_P6-108	il faut être en france	il faut être en france	[15523, 36480, 11709, 8121]	devoir être au france
cefc-fleuron-V_Rint_exo_06_P6-51	monsieur nnaammee m'a dit euh un cours euh	monsieur nnaammee m'a dit euh un cours euh	[9839, 4744, 36935, 6632, 9693, 2627, 23404]	passé monsieur haut_du_corps me dire un cours
cefc-fleuron-V_Rint_exo_06_P6-42_1	quelque chose	quelque chose	[11318]	truc
cefc-fleuron-V_Rint_exo_06_P6-66	agreement c'est pas avec vous	agreement c'est pas avec vous	[37779, 7095, 36480, 5526, 7064, 7304]	quelqu'un celui-là être non avec vous
cefc-fleuron-V_Rint_exo_06_P6-43	je vais vous donner son adresse électronique	je vais vous donner son adresse électronique	[6632, 8142, 7304, 17040, 12272, 30231, 35027]	me aller vous donner son adresse électronique
cefc-fleuron-V_Rint_exo_06_P6-114	c'est un accord oui	c'est un accord oui	[7095, 36480, 2627, 25696, 5584]	celui-là être un accord oui
cefc-fleuron-V_Rint_exo_06_P6-113	euh vous êtes restée quelques mois en france à l'université d'accord	euh vous êtes restée quelques mois en france à l'université d'accord	[9839, 7304, 27206, 36513, 37724, 11709, 8121, 7041, 8476, 15537, 31410]	passé vous rester n'importe_qui mois au france à le université d'accord
cefc-fleuron-V_Rint_exo_06_P6-35_3	je sais que c'est nnaammee	je sais que c'est nnaammee	[6632, 16885, 11351, 7095, 36480, 36935]	me savoir que celui-là être haut_du_corps
cefc-fleuron-V_Rint_exo_06_P6-53	mais c'est pour un niveau	mais c'est pour un niveau	[11377, 7095, 36480, 7194, 2627, 37864]	alors_que celui-là être pour un étage
cefc-fleuron-V_Rint_exo_06_P6-5	ou alors est-ce que vous avez vu votre professeur coordinateur ou	ou alors est-ce que vous avez vu votre professeur coordinateur ou	[11317, 9839, 3418, 7304, 6564, 12285, 2457, 33970, 11317]	ou passé est-ce_que vous voir votre maître coordonner ou
cefc-fleuron-V_Rint_exo_06_P6-24	et puis je ne sais pas	et puis je ne sais pas	[5526]	non
cefc-fleuron-V_Rint_exo_06_P6-112	vous avez validé	vous avez validé	[9839, 7304, 28291]	passé vous badger
cefc-fleuron-V_Rint_exo_06_P6-40	il faudrait voir un professeur d'espagnol	il faudrait voir un professeur d'espagnol	[15523, 6564, 2627, 2457, 7074, 11534]	devoir voir un maître de espagnol
cefc-fleuron-V_Rint_exo_06_P6-15	oui je sais qu'est-ce que je veux faire	oui je sais qu'est-ce que je veux faire	[5584, 6632, 16885, 3418, 5441, 6190]	oui me savoir est-ce_que vouloir faire
cefc-fleuron-V_Rint_exo_06_P6-74	hein qui ils disent en fait les cours qui sont à prendre	hein qui ils disent en fait les cours qui sont à prendre	[11351, 7032, 9693, 8477, 23404, 11351, 36480, 7041, 10148]	que ils dire les cours que être à prendre
cefc-fleuron-V_Rint_exo_06_P6-97	on vous dit passer les examens ou	on vous dit passer les examens ou	[31672, 7304, 9693, 31999, 8477, 38462, 11317]	nous vous dire passer les contrôle ou
cefc-fleuron-V_Rint_exo_06_P6-50	aussi je veux faire l'allemand mais est-ce que il y a un cours euh	aussi je veux faire l'allemand mais est-ce que il y a un cours euh	[5441, 6190, 8476, 37740, 11377, 3418, 9001, 2627, 23404]	vouloir faire le allemand alors_que est-ce_que il_y_a un cours
cefc-fleuron-V_Rint_exo_06_P6-29	vous n'avez pas les codes euh	vous n'avez pas les codes euh	[7304, 32761, 5526, 8477, 7064, 7074]	vous avoir non les avec de
cefc-fleuron-V_Rint_exo_06_P6-99	non je je crois pas faire	non je je crois pas faire	[5525, 6632, 38796, 6190, 5526]	non me penser faire non
cefc-fleuron-V_Rint_exo_06_P6-102	et ensuite donc a ses points ects	et ensuite donc a ses points ects	[11399, 32749, 12276, 35877, 35681]	et après ses à_point 3
cefc-fleuron-V_Rint_exo_06_P6-8	vous en premier vous avez un petit peu parlé des cours que vous alliez choisir	vous en premier vous avez un petit peu parlé des cours que vous alliez choisir	[9839, 7304, 11709, 4726, 7304, 32761, 6517, 7209, 23404, 11351, 7304, 30510]	passé vous au premier vous avoir parler peu_nombreux cours que vous préférer
cefc-fleuron-V_Rint_exo_06_P6-111	d'accord donc il y a pas vraiment un système de points ects du moment que vous vous êtes en séjour d'études	d'accord donc il y a pas vraiment un système de points ects du moment que vous vous êtes en séjour d'études	[31410, 9001, 5526, 2627, 21906, 7074, 3218, 7074, 22633, 11351, 7304, 36480, 11709, 32416, 7074, 36055]	d'accord il_y_a non un gouvernement de point de instant que vous être au colonie_de_vacance de études
cefc-fleuron-V_Rint_exo_06_P6-65	et puis il faut parler avec mon université par pour le learning	et puis il faut parler avec mon université par pour le learning	[15523, 6517, 7064, 12264, 15537, 7212, 7194, 8476, 37779]	devoir parler avec mon université par pour le quelqu'un
cefc-fleuron-V_Rint_exo_06_P6-2	je viens inscrire dans les cours	je viens inscrire dans les cours	[6632, 32669, 9901, 7034, 8477, 23404]	me venir enregistrement dans les cours
cefc-fleuron-V_Rint_exo_06_P6-56	mais je sais pas si	mais je sais pas si	[11377, 5526, 28359]	alors_que non si
